Feature,Importance
num__TotalLivingArea,0.38449573544807025
num__OverallQual,0.3087030457879392
num__2ndFlrSF,0.030283963708762095
num__TotalBathrooms,0.025822333168442922
num__HouseAge,0.024018778806841733
num__GarageCars,0.02191006320495177
num__BsmtFinSF1,0.01666669572871195
num__LotArea,0.014746381298864682
num__GrLivArea,0.013819198379527959
cat__BsmtQual_Ex,0.012516872591915635
cat__KitchenQual_Ex,0.011586177637236805
num__YearRemodAdd,0.008907048748985492
num__YearBuilt,0.00837529520103006
num__OverallCond,0.00815625982373024
num__RemodelAge,0.006043013366850567
num__LotFrontage,0.0060382497715048816
num__OpenPorchSF,0.005998154519977469
num__GarageArea,0.005948827934862793
num__Fireplaces,0.005606214215565807
num__BsmtUnfSF,0.005446723512925018
num__GarageYrBlt,0.005421365763337191
cat__KitchenQual_TA,0.005007654893092799
num__KitchenAbvGr,0.0045873961464792746
num__TotalBsmtSF,0.0028085379397437527
num__ScreenPorch,0.0026584209153755023
cat__FireplaceQu_Missing,0.00257004306528806
cat__GarageType_Attchd,0.002270532397259129
num__1stFlrSF,0.002232869331666358
cat__LandContour_Bnk,0.00216162019173001
cat__Neighborhood_Crawfor,0.0018643193294119698
cat__Exterior1st_BrkFace,0.001675945828177258
cat__Neighborhood_Edwards,0.001629409778636712
cat__BsmtFinType1_GLQ,0.0016160983045451986
cat__BsmtExposure_Gd,0.0015683247064770239
cat__MSZoning_RM,0.0014746209013030537
cat__CentralAir_N,0.0014677129719759571
num__PoolArea,0.0014587338137518635
cat__Neighborhood_StoneBr,0.001432904851680371
cat__LandContour_HLS,0.001375468399711351
num__HalfBath,0.0013446892502171303
num__TotalPorchSF,0.001336656629091336
cat__CentralAir_Y,0.001291145450345285
cat__Functional_Typ,0.0012633371796589407
cat__SaleType_New,0.0012167019696007232
cat__Exterior2nd_ImStucc,0.001040801860515959
num__Id,0.0010005584469816487
cat__SaleCondition_Abnorml,0.0009423056257276881
num__MoSold,0.0008440932178557256
cat__LotConfig_CulDSac,0.0008138159080025831
cat__BsmtExposure_No,0.0007923960978013969
cat__LandSlope_Gtl,0.0007166608045626376
num__WoodDeckSF,0.0006992857410686886
cat__Condition1_Norm,0.0006821227871910406
cat__SaleCondition_Partial,0.0006696176163758911
cat__GarageCond_TA,0.0006566700150052941
cat__MSZoning_RL,0.0006529171966524576
cat__GarageFinish_Unf,0.0006360787083022191
num__MasVnrArea,0.0005669551059094822
cat__BsmtQual_TA,0.0005575510559816383
num__MSSubClass,0.000538915670206064
cat__BsmtCond_Fa,0.0004372858107143422
cat__Condition1_Artery,0.0004187553443786264
num__FullBath,0.00041785565447623353
cat__LandContour_Lvl,0.0004154681279700154
cat__Exterior2nd_Stucco,0.0004141252719787453
cat__Exterior2nd_MetalSd,0.00038931586727107667
num__BsmtFinSF2,0.00038840016673297786
cat__KitchenQual_Gd,0.0003661028280825207
cat__FireplaceQu_Gd,0.00035017666263763763
num__TotRmsAbvGrd,0.0003426539061144364
cat__MSZoning_FV,0.0003351136601258492
cat__Neighborhood_ClearCr,0.00031162762573021214
cat__BsmtQual_Gd,0.00028931897292489803
num__EnclosedPorch,0.00022644767255838887
cat__LotShape_IR3,0.0002135105282331023
cat__SaleCondition_Alloca,0.00021297039210356215
num__BedroomAbvGr,0.00021013190936907192
cat__SaleCondition_Family,0.00020812048406840304
num__YrSold,0.0001949380358201003
cat__RoofStyle_Flat,0.00018984665774054418
cat__Neighborhood_NridgHt,0.00016483053878982523
cat__Functional_Mod,0.00016314338169358855
cat__Neighborhood_BrkSide,0.00015885748545152106
cat__Neighborhood_Somerst,0.00014852886040942194
